mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.5671371817588806,0.07853190239880742,0.055876851081848145,0.005014547011684799,0.6,5.0,200,7,0.05,1.0,"{'model__subsample': 0.6, 'model__reg_lambda': 5.0, 'model__n_estimators': 200, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.8018381938732299,0.7966854549429532,0.7983994055393973,0.7894649341094114,0.796596997116248,0.00451644127299992,17,0.8764228973876014,0.874293669642126,0.8730548730548731,0.8693693693693694,0.8732852023634925,0.00256168577037975,14,0.7184176152267214,0.7115203909039655,0.7117887690591298,0.6997929606625258,0.7103799339630856,0.0067077153734415185,17
0.7111402750015259,0.006668152190351645,0.06150156259536743,0.0008855926839501409,0.8,0.0,300,7,0.05,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 0.0, 'model__n_estimators': 300, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.8015441342858485,0.7993445545720288,0.8011478865590672,0.7937485740360484,0.7989462873632482,0.0031133056488897473,9,0.8754401768896897,0.8749488166407338,0.8742014742014742,0.8723177723177723,0.8742270600124175,0.0011872888573433013,6,0.7171285103217407,0.714632778919828,0.7154501667284179,0.706789542975362,0.7135002497363372,0.003977519916193204,6
0.6715879440307617,0.007190875376983879,0.064189612865448,0.003067512578186822,1.0,5.0,300,7,0.05,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__n_estimators': 300, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.8032609463741271,0.7960701090520247,0.7981302700027408,0.7924430985113378,0.7974761059850576,0.003911531045999108,15,0.8771599377610352,0.8747850298910819,0.8726453726453727,0.8715806715806715,0.8740427529695403,0.002137892220644258,9,0.7204621692135669,0.7114549915078316,0.7111276240014862,0.7048192771084337,0.7119660154578296,0.005572803230587711,13
0.3594786524772644,0.002746250027670391,0.048966825008392334,0.0008433681465344123,0.8,5.0,300,3,0.1,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.7995405942969498,0.7919865805816113,0.7974369119950566,0.7882036745211856,0.7942919403487008,0.00446712657552527,23,0.8756039636393416,0.8714274015232167,0.8744471744471745,0.8688779688779689,0.8725891271219254,0.002629823233983263,20,0.7154897920958981,0.7042200452147701,0.7123287671232876,0.6980954176881011,0.7075335055305143,0.0068255686766516615,22
0.5691379904747009,0.019821285879477252,0.05346709489822388,0.0007672053222078302,0.8,1.0,200,7,0.01,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__n_estimators': 200, 'model__max_depth': 7, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}",0.7621131807590897,0.7615692543394559,0.7662475216219675,0.7514270693500434,0.7603392565176392,0.005454227225495879,39,0.8668413725329621,0.8651216116616166,0.8660933660933661,0.8600327600327601,0.8645222775801763,0.0026627753221989806,39,0.6685690990623726,0.6663965971237593,0.672541558181454,0.650010239606799,0.6643793734935963,0.008583651015901536,39
0.5014467239379883,0.0024036967699118555,0.05549663305282593,0.001732420617777788,0.6,5.0,300,5,0.1,1.0,"{'model__subsample': 0.6, 'model__reg_lambda': 5.0, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.8021345561260517,0.7994119950374428,0.7980269462811366,0.7933064146712014,0.798219978028958,0.0031986400373095014,11,0.874375563016952,0.87380230939317,0.8714168714168714,0.8698607698607699,0.8723638784219409,0.0018219723725577189,22,0.7165558019216556,0.7135155233314743,0.7097966728280961,0.7039314328302589,0.7109498577278712,0.004706308897369298,15
0.5772829651832581,0.03516335870371307,0.059064507484436035,0.005235511855994664,0.8,1.0,300,5,0.01,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.8}",0.7644532967500586,0.7584778615112898,0.7643441869985772,0.748370090041333,0.7589113588253147,0.006548567885792326,41,0.8659405454098763,0.8618458766685775,0.8635544635544635,0.8571662571662572,0.8621267856997936,0.003212039087511739,42,0.6704248037044493,0.6599475912114493,0.6681274900398406,0.643936300530829,0.6606090463716421,0.010383810283438004,41
0.3967585563659668,0.022918660016929097,0.04872053861618042,0.001101041216445048,0.6,0.0,300,3,0.05,0.8,"{'model__subsample': 0.6, 'model__reg_lambda': 0.0, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.7917094870331935,0.7829327395477594,0.7874797263821267,0.778040530980338,0.7850406209858545,0.005095768679352352,29,0.8731471623945622,0.8678240930308738,0.8701883701883701,0.8651924651924652,0.8690880227015678,0.002935143359281694,29,0.705681170435113,0.6918671248568156,0.698611903403689,0.6844325153374233,0.6951481785082603,0.007882449799028973,29
0.678569495677948,0.023693091894097462,0.06481701135635376,0.0036025857079048118,1.0,1.0,300,7,0.05,0.6,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__n_estimators': 300, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.6}",0.8057642200275303,0.798460073144444,0.8006450886735714,0.7945503195043571,0.7998549253374758,0.004050573339565016,3,0.8784702317582508,0.8750307100155598,0.8757575757575757,0.8726453726453727,0.8754759725441897,0.002076983577051341,1,0.7240609892153217,0.7139107611548556,0.7166075098075846,0.7078715010332519,0.7156126903027535,0.005813475606167194,1
0.3971061706542969,0.012534733769179934,0.05295121669769287,0.0016228982410837866,0.8,1.0,300,3,0.05,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.7887908862196636,0.780758083884665,0.786594776304972,0.7769946030027927,0.7832845873530233,0.00466968417048039,32,0.8719187617721726,0.8679059864056998,0.8702702702702703,0.865028665028665,0.868780920869202,0.002593701090097198,30,0.7016405951926745,0.6897480284670129,0.6978252575352919,0.68319876970396,0.6931031627247348,0.007150871617184748,32
