mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.6558371782302856,0.08871110209201752,0.04831117391586304,0.007654841738511687,0.6,5.0,200,7,0.05,1.0,"{'model__subsample': 0.6, 'model__reg_lambda': 5.0, 'model__n_estimators': 200, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.7283288702392336,0.7257865587581609,0.7360781275324648,0.7230046325631596,0.7282995472732547,0.004869763950888224,10,0.9102008316376183,0.9086083340706007,0.911970273378749,0.9094850468943549,0.9100661214953307,0.001235590252183219,1,0.5611759619541721,0.5549332184403274,0.5738758029978587,0.5534701003928415,0.5608637709462999,0.00805059405595891,6
0.8449682593345642,0.003529001673956335,0.045933544635772705,0.000304507914985275,0.8,0.0,300,7,0.05,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 0.0, 'model__n_estimators': 300, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.7308260884788511,0.7245567258577985,0.7365061566822231,0.7253564617889334,0.7293113582019516,0.004803833556370462,8,0.9105547199858445,0.9070158365035831,0.9121472175528621,0.9084232879136436,0.9095352654889833,0.001965044375816,6,0.564786913473956,0.5502781343602909,0.5747323340471092,0.5540715208961654,0.5609672256943804,0.009563938008326328,5
0.8020173907279968,0.006009865579627961,0.04593372344970703,0.00019888490027407564,1.0,5.0,300,7,0.05,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__n_estimators': 300, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.7245692685997495,0.7249073921237037,0.7341383825852763,0.7258073635925406,0.7273556017253175,0.0039420977933734645,12,0.9099354153764487,0.9076351411129788,0.9114394408564098,0.9092196071491772,0.9095574011237537,0.0013687728672812504,5,0.5562336530078466,0.551931330472103,0.5705705705705706,0.5562283737024222,0.5587409819382355,0.007051780250623152,11
0.40481501817703247,0.0023923165996933616,0.04599851369857788,0.003968520393345466,0.8,5.0,300,3,0.1,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.7126066758308259,0.712010535600091,0.7209751324266067,0.7222933764654877,0.7169714300807528,0.0046907968274778515,23,0.9096699991152791,0.9074581969388658,0.9113509687693533,0.9105468058750663,0.9097564926746411,0.0014540111241208914,2,0.541123595505618,0.5359361135758651,0.5550621669626998,0.5548216644649934,0.5467358851272941,0.008408918733422276,19
0.6528189778327942,0.0054834272420057435,0.04463005065917969,0.0010013875360910776,0.8,1.0,200,7,0.01,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__n_estimators': 200, 'model__max_depth': 7, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}",0.643193057732536,0.6457052817903184,0.6369311563414054,0.6394976033761927,0.641331774810113,0.003366064659931108,39,0.9047155622401133,0.9016190391931346,0.9030345925860391,0.9010794549637232,0.9026121622457526,0.0014087426964050605,39,0.4256,0.4256198347107438,0.4113856068743287,0.41343126967471144,0.41900917781494595,0.006640248767487533,39
0.575678825378418,0.001992924637756075,0.04476732015609741,0.0014128383387896622,0.6,5.0,300,5,0.1,1.0,"{'model__subsample': 0.6, 'model__reg_lambda': 5.0, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.7239906730503539,0.7245842744179145,0.7349258229232464,0.7276031639678753,0.7277759835898476,0.0043493003010185065,11,0.9094930549411661,0.9064850039812439,0.9099354153764487,0.9083348079985843,0.9085620705743608,0.0013340410176648073,19,0.5546364823683065,0.5492537313432836,0.5682782018659881,0.5565068493150684,0.5571688162231616,0.006944745008936046,12
0.6055426597595215,0.0027645122234664773,0.04395413398742676,0.0008751671705868141,0.8,1.0,300,5,0.01,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.8}",0.6436990114803604,0.6499382866781227,0.6382424713372323,0.6451433123432948,0.6442557704597526,0.004169786207502664,38,0.9044501459789437,0.9033000088472087,0.9030345925860391,0.9029375331799682,0.90343057014804,0.0006034204193038455,38,0.4261424017003188,0.4357253484770263,0.413903743315508,0.42655514898065866,0.42558166061837793,0.007754519102736673,38
0.4250171184539795,0.0024724203111719614,0.04289728403091431,0.0005331174143902164,0.6,0.0,300,3,0.05,0.8,"{'model__subsample': 0.6, 'model__reg_lambda': 0.0, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.6989308430344432,0.6959426768651664,0.6978583016372881,0.6938673110214377,0.6966497831395839,0.001930408089939158,30,0.9086968061576572,0.905157922675396,0.909316110767053,0.9061228101221023,0.907323412430552,0.001731173646163665,31,0.5213358070500927,0.5105022831050229,0.5212517515179822,0.5094775774387424,0.5156418547779601,0.0056636019017734214,30
0.8147621750831604,0.0025640374144205746,0.045458853244781494,0.0007576760959784949,1.0,1.0,300,7,0.05,0.6,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__n_estimators': 300, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.6}",0.7228284800121745,0.7219543153171055,0.727062287840988,0.7169256819236052,0.7221926912734684,0.0036026174040127757,17,0.9097584712023357,0.9076351411129788,0.9087852782447138,0.9086002477437621,0.9086947845759477,0.000753558196905802,15,0.5538057742782152,0.5484429065743944,0.5569402664374732,0.5443317159241288,0.5508801658035529,0.0048504235127900175,17
0.426235556602478,0.0022165784947880576,0.04354661703109741,0.0003546991981962434,0.8,1.0,300,3,0.05,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.6952989803167622,0.6938186715121818,0.695340226939139,0.6965374015807713,0.6952488200872136,0.0009639292600357251,31,0.9080775015482615,0.9060426435459612,0.9083429178094311,0.9073615289329322,0.9074561479591465,0.0008915419979305421,30,0.5151656556229585,0.5092421441774492,0.5158878504672897,0.5155020823692735,0.5139494331592427,0.0027297411905209557,31
0.4299381971359253,0.0017844200037118365,0.043819427490234375,0.0006533972190793284,0.6,0.0,300,3,0.01,0.6,"{'model__subsample': 0.6, 'model__reg_lambda': 0.0, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.6}",0.5907239261404535,0.6032651144587727,0.588712004507882,0.5998832005918039,0.5956460614247281,0.006089168221923144,44,0.8978147394497036,0.8985225161461559,0.8971954348403078,0.8983365775968855,0.8979673170082632,0.0005156746691495255,45,0.3029571514785757,0.3343006384213581,0.2974607013301088,0.32609970674486805,0.31520454949372767,0.015396492860828356,44
