mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__C,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.04132413864135742,0.0015889224543694383,0.018665313720703125,0.000802411698467366,,0.001,"{'model__class_weight': None, 'model__C': 0.001}",0.5265181218137497,0.532505879683116,0.5262754786268361,0.5284331600412339,0.0028815508428700924,10,0.7883333333333333,0.789,0.7843333333333333,0.7872222222222222,0.0020608041101101687,5,0.4934155994489,0.505798089242091,0.49605869085861887,0.4984241265165366,0.005324658221171353,10
0.04002134005228678,0.0015577661352027042,0.018025636672973633,0.001052917181989405,balanced,0.001,"{'model__class_weight': 'balanced', 'model__C': 0.001}",0.6396780495549657,0.652564882818947,0.6565130384551907,0.6495853236097011,0.00718853451123044,5,0.6633333333333333,0.678,0.6866666666666666,0.676,0.00963019941334242,10,0.599460448107259,0.6131882259728223,0.6195564189736118,0.6107350310178977,0.008385528621002425,8
0.03956031799316406,0.0029028308126296904,0.016640424728393555,0.0009443670734034802,,0.01,"{'model__class_weight': None, 'model__C': 0.01}",0.5839989002414434,0.5935385377124938,0.5871972478956924,0.5882448952832099,0.003964370026136657,9,0.8046666666666666,0.8076666666666666,0.8036666666666666,0.8053333333333333,0.0016996731711975963,4,0.592782569055552,0.6064992413005302,0.5975301516425302,0.5989373206662042,0.005687522475555849,9
0.0462799866994222,0.008464782918193192,0.025707006454467773,0.006335140143829175,balanced,0.01,"{'model__class_weight': 'balanced', 'model__C': 0.01}",0.6533863076187323,0.6697655347417066,0.6649947392308961,0.6627155271971117,0.00687826896380698,4,0.6653333333333333,0.688,0.694,0.6824444444444445,0.012344839477627666,6,0.6067390204198022,0.626420679052258,0.6274439353175574,0.6202012115965392,0.009528368408962774,3
0.0419002374013265,0.0028406538955366915,0.016183932622273762,0.0007760428999222066,,0.1,"{'model__class_weight': None, 'model__C': 0.1}",0.5984506570476517,0.6093595271496947,0.6001170779006437,0.60264242069933,0.004798185692805801,8,0.8086666666666666,0.813,0.807,0.8095555555555555,0.0025288459281646368,3,0.613431222185905,0.6282121377802078,0.615564311531455,0.6190692238325225,0.006523402697473533,7
0.05265680948893229,0.0022417539925521945,0.0197292963663737,0.004392736838739896,balanced,0.1,"{'model__class_weight': 'balanced', 'model__C': 0.1}",0.6543757030806793,0.6712792952632447,0.6642417271827035,0.6632989085088759,0.006932990574415939,2,0.6626666666666666,0.687,0.6936666666666667,0.6811111111111111,0.01332314425499877,7,0.6057347670250897,0.6265486399516595,0.6269100560934032,0.6197311543567174,0.009898040181759618,5
0.05662107467651367,0.00510411711005301,0.017850637435913086,0.0015914342941863553,,1.0,"{'model__class_weight': None, 'model__C': 1.0}",0.5989908553527069,0.6117294520547945,0.6014090609011389,0.6040431227695467,0.005523988470272736,7,0.8086666666666666,0.8133333333333334,0.8073333333333333,0.8097777777777777,0.002572408200620058,1,0.6141695234254217,0.6312826797672516,0.6173033614624927,0.620918521551722,0.007439402612577861,2
0.058844963709513344,0.003528849797312033,0.022511641184488933,0.005827090655696667,balanced,1.0,"{'model__class_weight': 'balanced', 'model__C': 1.0}",0.6538355047756241,0.6720400437365901,0.665747751279089,0.6638744332637677,0.0075490970755990585,1,0.6626666666666666,0.6856666666666666,0.6943333333333334,0.6808888888888888,0.013362006207023849,8,0.6055009488247931,0.626149254062703,0.6279773475934354,0.6198758501603105,0.010191951818098809,4
0.05247346560160319,0.0008717268468304742,0.01886296272277832,0.001463247563581942,,10.0,"{'model__class_weight': None, 'model__C': 10.0}",0.5989908553527069,0.6117294520547945,0.6019480318534411,0.6042227797536476,0.005443578479378483,6,0.8086666666666666,0.8133333333333334,0.8073333333333333,0.8097777777777777,0.002572408200620058,1,0.6141695234254217,0.6312826797672516,0.6180159032271708,0.6211560354732814,0.0073307731691946145,1
0.05998826026916504,0.00450362234328984,0.017297108968098957,0.0006190627155275457,balanced,10.0,"{'model__class_weight': 'balanced', 'model__C': 10.0}",0.6528674074547366,0.6716119615448093,0.6653196690873081,0.6632663460289513,0.007788952804898314,3,0.662,0.685,0.6936666666666667,0.6802222222222222,0.01336200620702381,9,0.6047213064311662,0.625593058614166,0.6274211040200547,0.619245156355129,0.010296993087364328,6
