mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.3136409918467204,0.03237154879913483,0.04063661893208822,0.00725649849516068,100,5,4,0.5,10,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 0.5, 'model__max_depth': 10}",0.9508225825541484,0.8958456622085453,0.961764705882353,0.9361443168816823,0.02884347057343555,20,0.9526315789473684,0.9157894736842105,0.9629629629629629,0.9437946718648472,0.020246855192382784,19,0.9495441267593167,0.9071358748778103,0.9604093724750875,0.939029791370738,0.022984484956297655,20
0.423552672068278,0.019724305211631505,0.07174340883890788,0.007262930348726748,200,2,1,sqrt,10,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.9620665167475441,0.907089596401941,0.9689075630252101,0.9460212253915651,0.027670125651836068,4,0.9631578947368421,0.9263157894736842,0.9682539682539683,0.9525758841548315,0.018684876608639135,4,0.960756543035024,0.918743890518084,0.96616137502984,0.9485539361943159,0.021194058438429145,4
0.39023741086324054,0.0026307290282480047,0.05493807792663574,0.002774604802642489,200,10,1,log2,10,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 10}",0.9550242632264173,0.91129127707421,0.961764705882353,0.9426934153943267,0.02237452584385941,6,0.9578947368421052,0.9315789473684211,0.9629629629629629,0.9508122157244964,0.013756469696004685,6,0.9550242632264173,0.9242772617186302,0.9604093724750875,0.946570299140045,0.015916123659347848,6
0.3964372475941976,0.014828415329737832,0.06069501241048177,0.011276970536308096,200,2,1,sqrt,5,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 5}",0.9620665167475441,0.91129127707421,0.9689075630252101,0.9474217856156547,0.025700327029577526,2,0.9631578947368421,0.9315789473684211,0.9682539682539683,0.9543302701197439,0.016221580410554548,2,0.960756543035024,0.9242772617186302,0.96616137502984,0.9503983932611648,0.018601759540786106,2
0.29327988624572754,0.011790460766280998,0.04757316907246908,0.0038249415705339258,100,10,1,0.5,5,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 5}",0.9409397561841638,0.9028879157296721,0.9659663865546219,0.936598019489486,0.025934036561347257,19,0.9473684210526315,0.9210526315789473,0.9682539682539683,0.9455583402951824,0.01931232491162978,15,0.9434523809523809,0.9132446500867553,0.9659663865546219,0.9408878058645861,0.021599817253586465,17
0.3939141432444255,0.00451774259197366,0.06284316380818684,0.009895894948835441,200,10,2,log2,,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': None}",0.9550242632264173,0.9000473428808142,0.961764705882353,0.9389454373298616,0.027642415543565665,14,0.9578947368421052,0.9210526315789473,0.9629629629629629,0.9473034437946718,0.0186770908778992,9,0.9550242632264173,0.9126276096753426,0.9604093724750875,0.9426870817922826,0.02136864912852225,14
0.5420925617218018,0.025284019556743583,0.07158954938252766,0.010711128220425473,200,10,2,0.5,5,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 5}",0.9578648360752752,0.8958456622085453,0.961764705882353,0.9384917347220578,0.03019732738448734,15,0.9578947368421052,0.9157894736842105,0.9629629629629629,0.9455490578297595,0.021144682001077674,16,0.9552730696798493,0.9071358748778103,0.9604093724750875,0.9409394390109157,0.023994528719089536,16
0.5308331648508707,0.01746114163922387,0.06000439325968424,0.011123282738020754,200,5,4,0.5,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 0.5, 'model__max_depth': None}",0.9536631554030062,0.9000473428808142,0.961764705882353,0.9384917347220578,0.027384755224694596,15,0.9526315789473684,0.9210526315789473,0.9629629629629629,0.9455490578297595,0.017827704062601205,16,0.9498165810711665,0.9126276096753426,0.9604093724750875,0.9409511877405322,0.02048935680205559,15
0.30396143595377606,0.014228567051762642,0.061242898305257164,0.0011337677325495529,100,10,2,0.5,5,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 5}",0.9620665167475441,0.8958456622085453,0.961764705882353,0.9398922949461475,0.031145916416019277,10,0.9631578947368421,0.9157894736842105,0.9629629629629629,0.9473034437946718,0.022283884067361405,9,0.960756543035024,0.9071358748778103,0.9604093724750875,0.9427672634626406,0.025195595133697502,12
0.29669515291849774,0.022085812420028206,0.046894232432047524,0.004033076362543936,100,2,1,0.5,10,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 10}",0.9578648360752752,0.9028879157296721,0.9647058823529412,0.9418195447192962,0.027670125651836068,8,0.9578947368421052,0.9210526315789473,0.9629629629629629,0.9473034437946718,0.0186770908778992,9,0.9552730696798493,0.9132446500867553,0.9606308585031988,0.9430495260899345,0.021188431599067886,9
