mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__penalty,param_model__loss,param_model__l1_ratio,param_model__alpha,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.10419615109761556,0.008306654900476267,0.023183504740397137,0.0013240492640701756,l2,log_loss,0.15,0.0001,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.7395291885665611,0.6288423627041974,0.6297006127130702,0.6660240546612762,0.051977159606214414,6,0.887,0.8966666666666666,0.896,0.8932222222222221,0.0044081854277505115,9,0.733439642950658,0.6654632937692718,0.6657023465123755,0.6882017610774351,0.03198816191275816,6
0.08314855893452962,0.0019604743866796026,0.022511879603068035,0.0008238048458916313,l1,log_loss,0.15,0.001,"{'model__penalty': 'l1', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 0.001}",0.6380588707882026,0.633493367921454,0.6368231198355774,0.636125119515078,0.0019281005233363973,14,0.8976666666666666,0.8983333333333333,0.8976666666666666,0.8978888888888887,0.0003142696805273722,2,0.6750991547286478,0.671448438410586,0.6739563328052677,0.6735013086481673,0.0015247333420196146,9
0.15468152364095053,0.02359259990079532,0.02224572499593099,0.00024176414602027004,elasticnet,hinge,0.15,0.0001,"{'model__penalty': 'elasticnet', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.6616413870094504,0.6619156398318347,0.689016658439082,0.6708578950934557,0.012840672836329945,5,0.8956666666666667,0.8983333333333333,0.896,0.8966666666666666,0.0011863420280034526,5,0.6932406107615375,0.696234402134526,0.7136532340664545,0.701042748987506,0.009000331369493466,3
0.08168164889017741,0.006587930776532925,0.022466341654459637,0.0007359896794503977,l1,hinge,0.5,0.001,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.5, 'model__alpha': 0.001}",0.5846650727737931,0.5919763303681763,0.596712837935941,0.5911180803593035,0.0049557781870501975,19,0.8906666666666667,0.8926666666666667,0.8966666666666666,0.8933333333333334,0.002494438257849247,7,0.6123291923997611,0.6224432844151154,0.6306422376884717,0.6218049048344494,0.007489884436284701,18
0.0908968448638916,0.006861974205602002,0.023320595423380535,0.0004887051799226741,l2,hinge,0.15,0.0001,"{'model__penalty': 'l2', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.617531853658694,0.6455588788544621,0.7057331745893467,0.6562746357008342,0.03679663786336036,8,0.8963333333333333,0.9,0.8993333333333333,0.8985555555555557,0.0015947444549341597,1,0.6537877952961896,0.6841661987647389,0.7283846984050846,0.6887795641553377,0.030628274992560364,4
0.08408435185750325,0.006222108729845222,0.024050315221150715,0.0020040560710058897,l1,hinge,0.15,0.001,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.001}",0.5846650727737931,0.5919763303681763,0.596712837935941,0.5911180803593035,0.0049557781870501975,19,0.8906666666666667,0.8926666666666667,0.8966666666666666,0.8933333333333334,0.002494438257849247,7,0.6123291923997611,0.6224432844151154,0.6306422376884717,0.6218049048344494,0.007489884436284701,18
0.10036516189575195,0.031193374058940532,0.023159344991048176,0.000713146924502147,l2,hinge,0.15,1e-05,"{'model__penalty': 'l2', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 1e-05}",0.5879093223374084,0.7567829175983196,0.7518221680169586,0.698838135984229,0.07846465672271605,1,0.8876666666666667,0.852,0.8563333333333333,0.8653333333333334,0.0158908312721053,19,0.6147654203381757,0.7065727699530516,0.7083391323393705,0.6765591075435325,0.0437006852947416,8
0.15804449717203775,0.023421970629796708,0.022050142288208008,0.0006061515931521744,l1,hinge,0.5,1e-05,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.5, 'model__alpha': 1e-05}",0.6868403816308686,0.7012709198439663,0.7070221628545524,0.698377821443129,0.00848934968486415,2,0.8703333333333333,0.898,0.8863333333333333,0.8848888888888888,0.011340956042178184,11,0.6866096942604996,0.7239990908205345,0.7146500027475049,0.7084195959428463,0.015887211219395722,1
0.2614095211029053,0.1091222851827154,0.022511641184488933,0.000483955706783222,l1,log_loss,0.15,1e-06,"{'model__penalty': 'l1', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 1e-06}",0.7294512039698903,0.6345500479135814,0.5536857966076539,0.6392290161637085,0.0718321616186765,10,0.6553333333333333,0.826,0.8883333333333333,0.7898888888888888,0.09848945547370119,20,0.5618027620834796,0.6203393380812735,0.568319551773949,0.5834872173129008,0.026193844579881786,20
0.11708418528238933,0.025352187297828642,0.02173582712809245,0.0005714093527970684,l1,hinge,0.15,0.0001,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.6647823884516977,0.5927313322556811,0.6599248869917047,0.6391462025663611,0.03288012540098143,11,0.8946666666666667,0.894,0.897,0.8952222222222224,0.001286204100310021,6,0.6946678965838877,0.6241484243387928,0.6932469659742387,0.670687762298973,0.03291339387218389,10
