mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__penalty,param_model__loss,param_model__l1_ratio,param_model__alpha,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.026759862899780273,0.006281478188968155,0.016614278157552082,0.0011251983641848862,l2,log_loss,0.15,0.0001,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.9536631554030062,0.9366197183098591,0.9844537815126051,0.9582455517418235,0.019795170585702272,10,0.9526315789473684,0.9526315789473684,0.9841269841269841,0.9631300473405736,0.01484707638581611,10,0.9498165810711665,0.9479467900520532,0.983032588203609,0.9602653197756096,0.016116976833310953,10
0.028611183166503906,0.006716319910877185,0.017383019129435223,0.0012367082389514593,l1,log_loss,0.15,0.001,"{'model__penalty': 'l1', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 0.001}",0.9719493431175288,0.9295774647887324,0.9815126050420169,0.961013137649426,0.022568638133665393,8,0.968421052631579,0.9473684210526315,0.9841269841269841,0.9666388192703982,0.0150594434744021,5,0.9666315419740077,0.9419599217986314,0.9829324824659101,0.9638413154128497,0.016842935316335697,6
0.026238282521565754,0.003313201169693244,0.01892701784769694,0.001475493802369719,elasticnet,hinge,0.15,0.0001,"{'model__penalty': 'elasticnet', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.9479820097052906,0.9465025446798438,0.9815126050420169,0.9586657198090505,0.016166474112117236,9,0.9526315789473684,0.9578947368421052,0.9841269841269841,0.9648844333054859,0.013775147412270832,7,0.9492566545001335,0.9541947926711668,0.9829324824659101,0.9621279765457369,0.01484849940983822,9
0.0246121883392334,0.002812537109930818,0.02359596888224284,0.0024529192255478447,l1,hinge,0.5,0.001,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.5, 'model__alpha': 0.001}",0.9635459817729909,0.9366197183098591,0.9844537815126051,0.961539827198485,0.01957963044856707,6,0.9578947368421052,0.9526315789473684,0.9841269841269841,0.9648844333054859,0.013775147412270832,7,0.9557315936626282,0.9479467900520532,0.983032588203609,0.96223699063943,0.015044233676113612,7
0.024666388829549152,0.00467641813321416,0.018593629201253254,0.0017794952668041242,l2,hinge,0.15,0.0001,"{'model__penalty': 'l2', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.9508225825541484,0.9295774647887324,0.9815126050420169,0.9539708841282991,0.021318982939834523,19,0.9526315789473684,0.9473684210526315,0.9841269841269841,0.9613756613756613,0.01623046976024569,13,0.9495441267593167,0.9419599217986314,0.9829324824659101,0.9581455103412861,0.017798418123559718,13
0.02451022466023763,0.0020360764474870183,0.018443822860717773,0.0008335126028262493,l1,hinge,0.15,0.001,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.001}",0.9635459817729909,0.9366197183098591,0.9844537815126051,0.961539827198485,0.01957963044856707,6,0.9578947368421052,0.9526315789473684,0.9841269841269841,0.9648844333054859,0.013775147412270832,7,0.9557315936626282,0.9479467900520532,0.983032588203609,0.96223699063943,0.015044233676113612,7
0.021458943684895832,0.0026149515012305305,0.0167697270711263,0.0017285659867593652,l2,hinge,0.15,1e-05,"{'model__penalty': 'l2', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 1e-05}",0.9733104509409398,0.9535447982009706,0.9701680672268908,0.9656744387896005,0.008672361441521436,1,0.9736842105263158,0.9631578947368421,0.9735449735449735,0.9701290262693772,0.004929662116019145,1,0.9719689593107315,0.9600492625634556,0.9715541374431835,0.9678574531057902,0.005523821078112613,1
0.02306993802388509,0.00587847239109857,0.01593621571858724,0.000838805995043701,l1,hinge,0.5,1e-05,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.5, 'model__alpha': 1e-05}",0.960705408924133,0.9310569298141792,0.973109243697479,0.9549571941452637,0.017642387510253068,14,0.9578947368421052,0.9421052631578948,0.9735449735449735,0.9578483245149911,0.012835249975073265,15,0.9555087226320103,0.9372202697425731,0.9717209803393483,0.9548166575713105,0.01409335478057631,15
0.021832386652628582,0.0017072926143345039,0.01694599787394206,0.0008599404915988603,l1,log_loss,0.15,1e-06,"{'model__penalty': 'l1', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 1e-06}",0.9719493431175288,0.9366197183098591,0.9533613445378151,0.953976801988401,0.014429823010413494,18,0.968421052631579,0.9526315789473684,0.9523809523809523,0.9578111946532998,0.007503000206956654,19,0.9666315419740077,0.9479467900520532,0.9493825323612557,0.9546536214624389,0.008489926337752864,19
0.021255652109781902,0.001212746443905817,0.0157320499420166,0.00022275211926435536,l1,hinge,0.15,0.0001,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 0.0001}",0.9719493431175288,0.9394602911587171,0.9773109243697479,0.9629068528819978,0.016723089444711858,3,0.968421052631579,0.9526315789473684,0.9788359788359788,0.9666295368049754,0.010772644061024206,6,0.9666315419740077,0.9482993197278912,0.9773109243697479,0.9640805953572156,0.011980506318046905,5
